artist_id,artist_name_fa,category,candidate_rank,channel_id,channel_title,channel_description,published_at,source_query,manual_status,candidate_type,notes
4,فرزاد فرزین,pop,2,UCff8stRBDVXKh0jubPqqeKw,Farzad Zarin  فرزاد زرّین,فرزاد زرّین کمدین، تحلیلگر سیاسی–رسانه‌ای و فعال آگاهی‌بخش ایرانی است که با رویکردی منحصربه‌فرد، طنز را به ابزاری برای ...,2024-12-11T08:51:16Z,فرزاد فرزین,pending_review,unknown,
4,فرزاد فرزین,pop,3,UCLTfWoDn6avqmh0BpHmvWQQ,Farzad Farzin - Topic,"I am Farzad Farzin. This is my official YouTube Channel. I am an Iranian singer, songwriter, arranger, and actor. I started my ...",2013-12-20T23:30:50Z,فرزاد فرزین,pending_review,unknown,
4,فرزاد فرزین,pop,4,UCsFDA7_0r1TF6UKbVufy4cQ,FarzadFarzinVEVO,,2025-01-26T18:18:49Z,فرزاد فرزین,pending_review,unknown,
4,فرزاد فرزین,pop,5,UCtI3OXUHOZeJtZV9I9uczKg,Bani Black,,2013-02-23T16:25:08Z,فرزاد فرزین,pending_review,unknown,
5,محسن یگانه,pop,1,UCF2LMk6XCzazmPPWrxc7qSg,Mohsen Yeganeh,,2012-04-11T19:02:23Z,محسن یگانه,pending_review,unknown,
5,محسن یگانه,pop,2,UCobfxWqSORuodnQ5rdNw-bw,Mohsen Yeganeh - Topic,,2013-10-21T07:38:24Z,محسن یگانه,pending_review,unknown,
5,محسن یگانه,pop,3,UCvbOLe9-_bg8FB3srYFnWQA,محسن یگانه,اینجا دور هم جمع میشیم تا حالمون رو با صدای محسن خوب و خوب تر کنیم.,2020-11-25T01:23:07Z,محسن یگانه,pending_review,unknown,
5,محسن یگانه,pop,4,UCDv73IGr77RsJFbT4p8lBnA,mohsen yeganeh concerts,All videos are captured by me.,2015-04-23T16:12:23Z,محسن یگانه,pending_review,unknown,
5,محسن یگانه,pop,5,UCLUK8cUTKyyNbDSs1xutwFA,محسن یگانه ریمیکس + Mohsen Yeganeh Remix,این کانال ریمیکس آهنگهای محسن یگانه را پخش میکند برای دانلود ریمیکس ها به کانال تلگرام مراجعه فرمایید Telgram ...,2019-04-11T10:55:17Z,محسن یگانه,pending_review,unknown,
6,سهراب پاکزاد,pop,1,UCQnVOIzzZ-r2vKWZGEvd7Zw,Sohrab Pakzad,The Official Youtube Channel Of Sohrab Pakzad.,2023-12-17T15:48:24Z,سهراب پاکزاد,pending_review,unknown,
6,سهراب پاکزاد,pop,2,UCp7ZHoSS_JBhS3Xi7dVg2DQ,Sohrab pakzad,All about sohrab pakzad #song#concert#live#music Instagram @sohrabpakzad_liliyana.,2020-11-03T09:02:06Z,سهراب پاکزاد,pending_review,unknown,
6,سهراب پاکزاد,pop,3,UC9qZPJyvvZiBmzYdqdgly1w,SohrabPakzadVEVO,,2023-05-01T23:30:54Z,سهراب پاکزاد,pending_review,unknown,
6,سهراب پاکزاد,pop,4,UC6TdpSDjE3jt7z8RcFslTow,Sohrab Pakzad - Topic,,2016-11-28T06:33:02Z,سهراب پاکزاد,pending_review,unknown,
6,سهراب پاکزاد,pop,5,UCCbchRgKxL2xcAOPrdvO1ow,sohrab pakzad,به کانال رسمی سهراب پاکزاد خوش آمدید.,2022-09-13T13:27:00Z,سهراب پاکزاد,pending_review,unknown,
7,گرشا رضایی,pop,1,UCisezGQDdiJZ6lmMQjVclvA,Garsha Rezaei,"Welcome to the official YouTube channel of Garsha Rezaei! Here you will find all of Garsha's music, including his latest hits and ...",2022-02-20T17:23:53Z,گرشا رضایی,pending_review,unknown,
7,گرشا رضایی,pop,2,UCyKEGPBJ8AXftaMfxXG9yKw,Garsha Rezaei - Topic,,2017-12-15T22:36:12Z,گرشا رضایی,pending_review,unknown,
7,گرشا رضایی,pop,3,UCvSuB-kDM8Lnxvrt3r6D3Og,garsha_rezaei_fan,کانال هواداری گرشا رضایی اولین نفر از خبر های جدید گرشا رضایی مطلع شوید...,2021-02-22T13:16:55Z,گرشا رضایی,pending_review,unknown,
7,گرشا رضایی,pop,4,UCpddD6C7BNxnlylU0pbQDlQ,طرفدار گرشا رضایی,,2022-05-17T05:24:14Z,گرشا رضایی,pending_review,unknown,
7,گرشا رضایی,pop,5,UCuw9FSEu8TR5SXeyVrtZITw,Garsha Rezaei_fanpg,بهترین کلیپ های گرشا رضایی.,2021-11-16T13:01:59Z,گرشا رضایی,pending_review,unknown,
8,ساسی مانکن,rap_hiphop,1,UCNbdu7ivGJ6BCMrxfLLVjUQ,Sasy,The one and only official YouTube channel!,2020-06-19T18:40:37Z,ساسی مانکن,pending_review,unknown,
8,ساسی مانکن,rap_hiphop,2,UC70n34Ta7gz9cjARcykafRQ,ساسی مانکن,,2025-02-21T20:11:14Z,ساسی مانکن,pending_review,unknown,
8,ساسی مانکن,rap_hiphop,3,UCFAIKt9lqX8_UR5avUWrQjg,StorySasy,صفحه رسمی دابسمش های ساسی مانکن.,2023-11-10T19:33:12Z,ساسی مانکن,pending_review,unknown,
8,ساسی مانکن,rap_hiphop,4,UCHgdN_bLmnnuvt6bKn8Uxfw,Sasy - Topic,,2016-11-28T18:16:04Z,ساسی مانکن,pending_review,unknown,
8,ساسی مانکن,rap_hiphop,5,UCIFAr4juP713mkNTdiRoHMg,Sasy Mankan - Topic,,2013-12-23T11:42:19Z,ساسی مانکن,pending_review,unknown,
9,هیچکس,rap_hiphop,1,UCAnylXo06Lw_x8swLZhIosg,Hichkas,"Soroush Lashkary better known by his stage name, Hichkas (nobody in Persian) is an Iranian song writer, rapper, record producer ...",2019-02-15T19:32:37Z,هیچکس,pending_review,unknown,
9,هیچکس,rap_hiphop,2,UCm_mje1o4yM0SVyfZi7DVwQ,☠️آقای هیچکس ☠️,ایدی اینستاگرام:mr_nobody052@ من بلاگر نیستم ، من یک موتور سوار روانیم   . Sabzevar . با من به اوج هیجان برس.,2024-05-02T16:26:17Z,هیچکس,pending_review,unknown,
9,هیچکس,rap_hiphop,3,UCl8zNrYBc1M-WnYMZxM7OPA,Hichkas - Topic,,2013-12-23T16:40:44Z,هیچکس,pending_review,unknown,
9,هیچکس,rap_hiphop,4,UC8-8C9zDeFOyi_OzOh95TCA,هیچکس,,2025-11-30T11:25:07Z,هیچکس,pending_review,unknown,
9,هیچکس,rap_hiphop,5,UCzGfKTYa6JhsdxDY7jPg04A,هیچکس,Iranian     YouTuber     #GAMER.,2022-02-11T18:05:13Z,هیچکس,pending_review,unknown,
