record_id,artist_name_fa,category,api_video_title,performance_percentile_final,artist_performance_median,category_performance_median,performance_residual_artist_median,performance_residual_category_median,title_has_music_video,title_has_lyric_video,duration_minutes
6__pl7LSxtgD0,سهراب پاکزاد,pop,Sohrab Pakzad - 110 Ta | سهراب پاکزاد - 110 تا,30.26,21.05,50.66,9.21,-20.399999999999995,0,0,2.1
6_txd-SU1DHjI,سهراب پاکزاد,pop,Sohrab Pakzad - Noor Cheshmi (Music Video),65.79,21.05,50.66,44.74000000000001,15.13000000000001,1,0,2.9
7_FiF32_QR_5c,گرشا رضایی,pop,Garsha Rezaei - Mahoora - Music Video - موزیک ویدیو آهنگ ماهورا از گرشا رضایی,25.0,31.58,50.66,-6.579999999999998,-25.659999999999997,1,0,3.8333333333333335
7_Xq34n7EGX4U,گرشا رضایی,pop,Garsha Rezaei - Naro (Music Video) - موزیک ویدیو آهنگ نرو از گرشا رضایی,59.21,31.58,50.66,27.630000000000003,8.550000000000004,1,0,4.35
7_tjso_6uA4e0,گرشا رضایی,pop,Garsha Rezaei - Donyami - آهنگ دنیامی از گرشا رضایی,42.11,31.58,50.66,10.530000000000001,-8.549999999999997,0,0,4.05
7_du58UVKaxBs,گرشا رضایی,pop,Garsha Rezaei - Darya Nemiram - آهنگ دریا نمیرم از گرشا رضایی,46.05,31.58,50.66,14.469999999999999,-4.609999999999999,0,0,3.3
7_p_XX3ITquXk,گرشا رضایی,pop,Garsha Rezaei - Darya Darya - آهنگ دریا دریا از گرشا رضایی,47.37,31.58,50.66,15.79,-3.289999999999999,0,0,2.8
7_hti0pAu04_o,گرشا رضایی,pop,Garsha Rezaei - Sharm (Music Video) - موزیک ویدیو آهنگ شرم از گرشا رضایی,34.21,31.58,50.66,2.6300000000000026,-16.449999999999996,1,0,3.1666666666666665
7_P5O0gKeBZ3U,گرشا رضایی,pop,Garsha Rezaei - Darya Darya (Music Video) - موزیک  ویدیو آهنگ دریا دریا از گرشا رضایی,26.32,31.58,50.66,-5.259999999999998,-24.339999999999996,1,0,3.15
7_iT7i_3xy9qs,گرشا رضایی,pop,Garsha Rezaei - Ghermez - آهنگ قرمز از گرشا رضایی,22.37,31.58,50.66,-9.209999999999997,-28.289999999999996,0,0,2.55
7_ZEKGk8I7X34,گرشا رضایی,pop,Garsha Rezaei - Chesh To Chesh - آهنگ چش تو چش از گرشا رضایی,31.58,31.58,50.66,0.0,-19.08,0,0,2.45
7_qfDHsZ2Ncd4,گرشا رضایی,pop,Garsha Rezaei KHABAR KHABAR(Music video),15.79,31.58,50.66,-15.79,-34.87,1,0,3.283333333333333
7_XUGJ6f0DtIA,گرشا رضایی,pop,"Garsha Rezaei - Delam Khast | گرشا رضایی - موزیک ویدیو دلم خواست (آلبوم ""1984"")",23.68,31.58,50.66,-7.899999999999999,-26.979999999999997,1,0,3.0166666666666666
8_LpcvEthPmCE,ساسی مانکن,rap_hiphop,Sasy Mankan - Khat Roo Khat OFFICIAL VIDEO HD,4.55,36.36,52.275,-31.81,-47.725,0,0,2.8666666666666667
8_ej5aKGNBWek,ساسی مانکن,rap_hiphop,Sasy Mankan - Atse OFFICIAL VIDEO HD,13.64,36.36,52.275,-22.72,-38.635,0,0,3.066666666666667
8_ddfW1OhMbEk,ساسی مانکن,rap_hiphop,"Sasy Mankan - ""Nagoo Na"" OFFICIAL VIDEO",18.18,36.36,52.275,-18.18,-34.095,0,0,3.6333333333333337
