fold,feature,feature_family,test_rows,test_positive,fold_roc_auc,fold_average_precision,permutation_ap_mean,permutation_ap_std,permutation_roc_mean,permutation_roc_std,impurity_importance
4,title_has_lyric_video,title_format,23,6,0.7450980392156863,0.5352813852813852,0.1262269119769119,0.04218205409622551,0.03901960784313729,0.017808628556328695,0.035161367123809635
4,title_has_collaboration,collaboration,23,6,0.7450980392156863,0.5352813852813852,-0.0021524771524771714,0.03338963918366137,-0.00117647058823529,0.014226162468405508,0.01605490782323205
4,title_contains_persian,title_language,23,6,0.7450980392156863,0.5352813852813852,-0.004936507936507964,0.009971155368176776,-0.0013725490196078382,0.006203643929237773,0.010987091077317457
4,title_is_bilingual,title_language,23,6,0.7450980392156863,0.5352813852813852,-0.0027142857142857424,0.005475999359620969,-0.0019607843137254832,0.007069708383262699,0.011298620593369446
4,category_classic_fusion,category_context,23,6,0.7450980392156863,0.5352813852813852,0.0109126984126984,0.03385923017252517,0.003921568627450975,0.00784313725490195,0.013103730949155816
4,category_pop,category_context,23,6,0.7450980392156863,0.5352813852813852,0.04599603174603171,0.05738384328817251,0.020000000000000014,0.016748358042402076,0.027301523836031776
4,category_rap_hiphop,category_context,23,6,0.7450980392156863,0.5352813852813852,0.0011071428571428322,0.02293936002754146,0.0003921568627451033,0.008760120746544562,0.015238301935577039
5,strategy_rz_duration_minutes,duration,23,6,0.5490196078431373,0.41246947496947495,-0.031566118721220365,0.10695324748517761,-0.094313725490196,0.09997865977603071,0.24728996235251785
5,strategy_rz_release_hour_tehran,timing,23,6,0.5490196078431373,0.41246947496947495,0.010775261775261778,0.039834426965989544,-0.0194117647058823,0.01955777922417236,0.08009632484793526
5,strategy_rz_days_since_previous_release_imputed,release_cadence,23,6,0.5490196078431373,0.41246947496947495,-0.03144425291484115,0.04546801708791125,-0.057058823529411704,0.046759258942041845,0.1508150169714556
5,strategy_rz_title_character_count,title_structure,23,6,0.5490196078431373,0.41246947496947495,0.04889393504099385,0.059496054611878325,-0.048039215686274464,0.027257723087172246,0.10848091934615188
5,strategy_rz_title_word_count,title_structure,23,6,0.5490196078431373,0.41246947496947495,0.03454213651272473,0.047239811444251455,-0.035882352941176414,0.019569570490852957,0.08175370859833274
5,is_iran_weekend_release,timing,23,6,0.5490196078431373,0.41246947496947495,0.028885447885447856,0.041302942650051605,-0.023725490196078346,0.011279197661387949,0.01495199048226382
5,days_since_previous_release_missing,release_cadence,23,6,0.5490196078431373,0.41246947496947495,0.0,0.0,0.0,0.0,0.004752859738672695
5,title_has_official,title_format,23,6,0.5490196078431373,0.41246947496947495,-0.004866503866503871,0.004132000869919985,-0.010980392156862704,0.009329707649702182,0.014324037723612787
5,title_has_music_video,title_format,23,6,0.5490196078431373,0.41246947496947495,0.02326961509099076,0.0730702232089246,0.010784313725490248,0.0840225249453562,0.1971780917807352
5,title_has_lyric_video,title_format,23,6,0.5490196078431373,0.41246947496947495,0.09414919926994228,0.05171222114792829,0.019019607843137318,0.023806376460292437,0.031136008679831108
5,title_has_collaboration,collaboration,23,6,0.5490196078431373,0.41246947496947495,0.0,0.0,-0.00019607843137254833,0.0013725490196078384,0.0019558484559697767
5,title_contains_persian,title_language,23,6,0.5490196078431373,0.41246947496947495,-0.004229474229474228,0.004101259900902272,-0.014705882352941124,0.008376474260115197,0.011671851197643475
5,title_is_bilingual,title_language,23,6,0.5490196078431373,0.41246947496947495,-0.005710955710955716,0.003731788404435015,-0.017058823529411703,0.00827488150823887,0.0102483066059091
5,category_classic_fusion,category_context,23,6,0.5490196078431373,0.41246947496947495,0.008426573426573419,0.027205006771439548,-0.002156862745098025,0.008832239709455044,0.009308935904662172
5,category_pop,category_context,23,6,0.5490196078431373,0.41246947496947495,0.03566664816664816,0.041042928148150554,-0.02294117647058816,0.01866456570809765,0.013888683071606796
5,category_rap_hiphop,category_context,23,6,0.5490196078431373,0.41246947496947495,0.0138136863136863,0.04061241305374159,-0.04196078431372543,0.019611764313803907,0.02214745424269974
